id,iso3,country_en,country_zh,region_en,region_zh,Type,local_id1,hasc1
320,IDN,Indonesia,印度尼西亚,Kalimantan Utara,北加里曼丹省,,,
321,IDN,Indonesia,印度尼西亚,Sulawesi Utara,北苏拉威西省,Province,71,ID.SW
322,IDN,Indonesia,印度尼西亚,Sulawesi Tengah,中苏拉威西省,Province,72,ID.ST
323,IDN,Indonesia,印度尼西亚,Sulawesi Selatan,南苏拉威西省,Province,73,ID.SE
324,IDN,Indonesia,印度尼西亚,Sulawesi Tenggara,东南苏拉威西省,Province,74,ID.SG
325,IDN,Indonesia,印度尼西亚,Gorontalo,哥伦打洛省,Province,75,ID.GO
326,IDN,Indonesia,印度尼西亚,Sulawesi Barat,西苏拉威西省,Province,76,ID.SR
327,IDN,Indonesia,印度尼西亚,Maluku,马鲁古省,Province,81,ID.MA
328,IDN,Indonesia,印度尼西亚,Maluku Utara,北马鲁古省,Province,82,ID.MU
329,IDN,Indonesia,印度尼西亚,Papua,巴布亚省,Province,94,ID.PA
330,IDN,Indonesia,印度尼西亚,Papua Barat,西巴布亚省,Province,91,ID.IB
331,IRN,Iran,伊朗,Qom,库姆省,Province,,IR.QM
332,IRN,Iran,伊朗,Tehran,德黑兰省,Province,,IR.TH
333,IRN,Iran,伊朗,Mazandaran,马赞德兰省,Province,,IR.MN
334,IRN,Iran,伊朗,Alborz,厄尔布尔士省,Province,,IR.AL
335,IRN,Iran,伊朗,Semnan,塞姆南省,Province,,IR.SM
336,IRN,Iran,伊朗,Golestan,戈勒斯坦省,Province,,IR.GI
337,IRN,Iran,伊朗,Qazvin,加兹温省,Province,,IR.QZ
338,IRN,Iran,伊朗,Isfahan,伊斯法罕省,Province,,IR.IL
339,IRN,Iran,伊朗,Fars,法尔斯省,Province,,IR.ES
340,IRN,Iran,伊朗,Hormozgan,霍尔木兹甘省,Province,,IR.HD
341,IRN,Iran,伊朗,Kohgiluyeh and Boyer-Ahmad,科吉卢耶-博韦艾哈迈德省,Province,,IR.KB
342,IRN,Iran,伊朗,Chaharmahal and Bakhtiari,恰哈马哈勒-巴赫蒂亚里省,Province,,IR.CM
343,IRN,Iran,伊朗,Bushehr,布什尔省,Province,,IR.BS
344,IRN,Iran,伊朗,Gilan,吉兰省,Province,,IR.FA
345,IRN,Iran,伊朗,Ardabil,阿尔达比勒省,Province,,IR.AR
346,IRN,Iran,伊朗,East Azerbaijan,东阿塞拜疆省,Province,,IR.EA
347,IRN,Iran,伊朗,West Azerbaijan,西阿塞拜疆省,Province,,IR.WA
348,IRN,Iran,伊朗,Kordestan,库尔德斯坦省,Province,,IR.KD
349,IRN,Iran,伊朗,Zanjan,赞詹省,Province,,IR.ZA
